Name,Count
BLIZZARD,18
BOGART,18
BONITA,18
BUCKY,18
CASSIDY,18
CEASAR,18
CHOLE,18
CLARK,18
CORA,18
DINGO,18
DIOR,18
EVIE,18
GINA,18
JAVA,18
JELLY,18
JILL,18
JINX,18
JUSTICE,18
JUSTIN,18
LEXUS,18
LIZZY,18
LUCILLE,18
MATTIE,18
MAVERICK,18
NENE,18
NERO,18
NOODLE,18
OBI,18
PAULIE,18
PEDRO,18
PRADA,18
PRESLEY,18
SAMI,18
SIERRA,18
TRAVIS,18
TRUFFLES,18
TY,18
VINCENT,18
WILEY,18
WILLIAM,18
ZACHARY,18
ZARA,18
ZOOEY,18
ALVIN,17
ARES,17
BEANS,17
BEAUREGARD,17
BOGEY,17
CHAUNCEY,17
CHILI,17
CHINO,17
CLIFFORD,17
DEUCE,17
DUDE,17
ELIZABETH,17
FOX,17
HAMILTON,17
HENNY,17
HUCKLEBERRY,17
IVORY,17
KIKO,17
KOBY,17
LEX,17
MAUI,17
MELODY,17
MINA,17
NIKITA,17
ORION,17
PERLA,17
PJ,17
POTATO,17
RADAR,17
RAISIN,17
SANDI,17
SARGE,17
SHAKIRA,17
SILVER,17
SPUNKY,17
TOBEY,17
TOFFEE,17
TRUFFLE,17
WAFFLES,17
WHITEY,17
ARYA,16
ATLAS,16
AUGGIE,16
BAGEL,16
BJ,16
BLEU,16
BOOGIE,16
CHAMPION,16
CHESTNUT,16
CHEYENNE,16
CICI,16
CLARA,16
CONAN,16
CROSBY,16
CURLY,16
DULCE,16
EDIE,16
EMMIE,16
FUDGE,16
GABRIEL,16
GAMBIT,16
GARY,16
GOLIATH,16
GORDON,16
GOTTI,16
GRIZZLY,16
GWEN,16
HUCK,16
INDIA,16
JANE,16
JAZMINE,16
JENNA,16
JESSICA,16
JEZEBEL,16
KENYA,16
KHALEESI,16
LEXINGTON,16
MAMBO,16
MARCELLO,16
MARIO,16
MARTIN,16
MARVIN,16
MEATBALL,16
MO,16
NINJA,16
NITRO,16
PAISLEY,16
PATCH,16
PELUCHE,16
PEYTON,16
PRETTY,16
PRINCESA,16
PUGSLEY,16
QUEEN,16
REBEL,16
ROBBIE,16
SAILOR,16
SAKE,16
SEVEN,16
SPIKEY,16
TABITHA,16
TEQUILA,16
TIA,16
TOBBY,16
TOM,16
TRUMAN,16
TURBO,16
TUX,16
VALENTINE,16
ZERO,16
ZUZU,16
ASH,15
BEATRICE,15
BERT,15
BOLT,15
BRADLEY,15
BUCKLEY,15
CALEB,15
CHIQUI,15
COSITA,15
CUJO,15
DAX,15
DOC,15
DOG,15
DOUGLAS,15
FLYNN,15
FRANNY,15
GERTRUDE,15
HENDRIX,15
HENRI,15
HERA,15
JACQUES,15
JAGGER,15
JASON,15
JUDY,15
JUICY,15
KASEY,15
KC,15
KOBI,15
KODI,15
LATTE,15
LEA,15
LEE,15
LILAH,15
LUCIA,15
MARCEL,15
MELLO,15
MIKO,15
MISO,15
MONSTER,15
MOZART,15
OPHELIA,15
OSKAR,15
OWEN,15
PATSY,15
PATTY,15
PRINCESSA,15
RALEIGH,15
REMINGTON,15
ROCK,15
SAKI,15
SHELLY,15
SKITTLES,15
TOBIAS,15
TOFU,15
TONKA,15
TUCK,15
TWIGGY,15
VANILLA,15
WOLFIE,15
AGGIE,14
AUGUST,14
BABE,14
BAMBAM,14
BARRY,14
BILL,14
BODIE,14
BOLO,14
BOWSER,14
CANELA,14
CARMELO,14
CASSIUS,14
CHULA,14
CHYNA,14
CLOUD,14
CORY,14
GIO,14
GOOFY,14
HALEY,14
HARLOW,14
HERBIE,14
HERMAN,14
HOBBES,14
IKE,14
IRIS,14
ISABEL,14
JAXSON,14
JEFFREY,14
JUJU,14
JULIETTE,14
KATE,14
KENNY,14
LORENZO,14
MAIA,14
MARSHALL,14
MOO,14
MUNCHIE,14
NIA,14
PERRY,14
PIPPI,14
REBA,14
ROBIN,14
ROLO,14
ROONEY,14
SIENNA,14
SOLO,14
SULLY,14
TANNER,14
TATER,14
TESLA,14
WILLA,14
WISHBONE,14
ZACH,14
AMELIA,13
ANTHONY,13
ARGOS,13
ARROW,13
BARNABY,13
BESS,13
BITSY,13
BOGIE,13
BONES,13
BREWSTER,13
BRIAN,13
BUCK,13
CHEECH,13
CHOPPER,13
COWBOY,13
CUBBY,13
CYRUS,13
DOUG,13
DUCKY,13
EDGAR,13
ELMO,13
